FILENAME;\Hard Disk2\Result\yeast_20180629_140317.csv
PROTOCOL;yeast
FILE_VERSION;3.3;
DATE START;2018-06-29;14:03:04
DATE END;2018-07-02;13:52:01;;Last Reading;224;Timestamp;260210432                      
DEVICE;BL063-CX_0FFE42
USER;fabian;COMMENT;no comment available
PLATETYPE;MTP-48-Flowerplate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;3;REFERENCE_MODE;2;MULTI_PMT;1;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
C63;A07;X7;;3;20.11140;124.85;0.0;0.00;30.00;85.88;13.04;0.00;
C63;A08;X8;;3;20.11338;136.73;0.0;0.00;30.00;85.87;13.03;0.00;
C63;B08;X16;;3;20.11540;142.34;0.0;0.00;30.00;85.80;13.03;0.00;
C63;B07;X15;;3;20.11741;134.73;0.0;0.00;30.00;85.76;12.98;0.00;
C63;B06;X14;;3;20.11943;136.67;0.0;0.00;30.10;85.69;12.98;0.00;
C63;B05;X13;;3;20.12141;135.52;0.0;0.00;30.00;85.55;12.98;0.00;
C63;B04;X12;;3;20.12341;166.96;0.0;0.00;30.10;85.43;12.98;0.00;
C63;B03;X11;;3;20.12544;158.08;0.0;0.00;30.10;85.36;12.98;0.00;
C63;B02;X10;;3;20.12745;165.72;0.0;0.00;30.00;85.23;12.98;0.00;
C63;B01;X9;;3;20.12943;160.56;0.0;0.00;30.00;85.16;12.98;0.00;
C63;C01;X17;;3;20.13141;157.14;0.0;0.00;30.00;84.96;12.97;0.00;
C63;C02;X18;;3;20.13338;164.60;0.0;0.00;30.10;84.78;12.98;0.00;
C63;C03;X19;;3;20.13536;157.40;0.0;0.00;30.10;84.79;13.04;0.00;
C63;C04;X20;;3;20.13735;168.38;0.0;0.00;30.10;85.03;13.03;0.00;
C63;C05;X21;;3;20.13935;134.74;0.0;0.00;30.10;85.24;12.98;0.00;
C63;C06;X22;;3;20.14132;137.92;0.0;0.00;30.10;85.10;12.98;0.00;
C63;C07;X23;;3;20.14330;145.19;0.0;0.00;30.10;84.86;13.03;0.00;
C63;C08;X24;;3;20.14527;140.31;0.0;0.00;30.00;84.64;12.98;0.00;
C63;D08;X32;;3;20.14728;143.59;0.0;0.00;30.10;84.64;12.98;0.00;
C63;D07;X31;;3;20.14927;140.88;0.0;0.00;30.10;84.78;13.04;0.00;
C63;D06;X30;;3;20.15125;150.79;0.0;0.00;30.10;84.91;13.04;0.00;
C63;D05;X29;;3;20.15326;149.05;0.0;0.00;30.10;84.91;13.04;0.00;
C63;D04;X28;;3;20.15526;187.90;0.0;0.00;30.10;84.79;13.00;0.00;
C63;D03;X27;;3;20.15725;159.87;0.0;0.00;30.10;84.72;13.05;0.00;
C63;D02;X26;;3;20.15925;189.83;0.0;0.00;30.10;84.78;13.04;0.00;
C63;D01;X25;;3;20.16123;152.54;0.0;0.00;30.10;84.68;13.04;0.00;
C63;E01;X33;;3;20.16323;145.65;0.0;0.00;30.10;84.50;13.04;0.00;
C63;E02;X34;;3;20.16521;179.78;0.0;0.00;30.10;84.61;13.05;0.00;
C63;E03;X35;;3;20.16717;156.71;0.0;0.00;30.10;84.51;13.04;0.00;
C63;E04;X36;;3;20.16915;186.08;0.0;0.00;30.10;84.44;13.05;0.00;
C63;E05;X37;;3;20.17115;149.21;0.0;0.00;30.10;84.51;13.05;0.00;
C63;E06;X38;;3;20.17314;148.25;0.0;0.00;30.10;84.62;13.04;0.00;
C63;E07;X39;;3;20.17511;145.87;0.0;0.00;30.10;84.83;13.07;0.00;
C63;E08;X40;;3;20.17709;141.69;0.0;0.00;30.10;84.96;13.05;0.00;
C63;F08;X48;;3;20.17907;237.75;0.0;0.00;30.10;85.12;13.06;0.00;
C63;F07;X47;;3;20.18106;141.20;0.0;0.00;30.10;85.09;13.05;0.00;
C63;F06;X46;;3;20.18303;141.79;0.0;0.00;30.10;85.04;13.06;0.00;
C63;F05;X45;;3;20.18500;141.62;0.0;0.00;30.10;85.03;13.05;0.00;
C63;F04;X44;;3;20.18697;203.94;0.0;0.00;30.10;84.97;13.06;0.00;
C63;F03;X43;;3;20.18897;156.05;0.0;0.00;30.10;84.82;13.05;0.00;
C63;F02;X42;;3;20.19097;172.57;0.0;0.00;30.10;84.76;13.06;0.00;
C63;F01;X41;;3;20.19294;149.54;0.0;0.00;30.10;84.76;13.06;0.00;
R;;;;1;20.20226;95.94;0.0;31.51;30.10;84.69;13.06;0.00;test measure for referencing with gain 22 and 9
C64;A01;X1;;1;20.20537;10.97;0.0;0.00;30.20;84.71;13.12;0.00;
C64;A02;X2;;1;20.20745;11.11;0.0;0.00;30.10;84.65;13.12;0.00;
C64;A03;X3;;1;20.20944;11.35;0.0;0.00;30.10;84.58;13.07;0.00;
C64;A04;X4;;1;20.21146;11.34;0.0;0.00;30.10;84.40;13.07;0.00;
C64;A05;X5;;1;20.21344;9.05;0.0;0.00;30.10;84.12;13.05;0.00;
C64;A06;X6;;1;20.21544;9.21;0.0;0.00;30.10;84.07;13.07;0.00;
C64;A07;X7;;1;20.21744;8.66;0.0;0.00;30.20;84.00;13.12;0.00;
C64;A08;X8;;1;20.21942;9.53;0.0;0.00;30.10;83.80;13.13;0.00;
C64;B08;X16;;1;20.22149;9.93;0.0;0.00;30.10;83.66;13.14;0.00;
C64;B07;X15;;1;20.22353;9.37;0.0;0.00;30.10;83.48;13.16;0.00;
C64;B06;X14;;1;20.22567;9.50;0.0;0.00;30.10;83.39;13.14;0.00;
C64;B05;X13;;1;20.22767;9.42;0.0;0.00;30.10;83.15;13.12;0.00;
C64;B04;X12;;1;20.22970;11.66;0.0;0.00;30.10;83.06;13.14;0.00;
C64;B03;X11;;1;20.23173;10.98;0.0;0.00;30.10;83.09;13.14;0.00;
C64;B02;X10;;1;20.23376;11.57;0.0;0.00;30.10;82.98;13.14;0.00;
C64;B01;X9;;1;20.23576;11.17;0.0;0.00;30.10;82.83;13.14;0.00;
C64;C01;X17;;1;20.23779;10.92;0.0;0.00;30.10;82.70;13.16;0.00;
C64;C02;X18;;1;20.23979;11.47;0.0;0.00;30.10;82.68;13.14;0.00;
C64;C03;X19;;1;20.24175;10.96;0.0;0.00;30.10;82.55;13.15;0.00;
C64;C04;X20;;1;20.24377;11.70;0.0;0.00;30.10;82.23;13.16;0.00;
C64;C05;X21;;1;20.24573;9.36;0.0;0.00;30.00;82.16;13.16;0.00;
C64;C06;X22;;1;20.24772;9.55;0.0;0.00;30.00;81.96;13.22;0.00;
C64;C07;X23;;1;20.24969;10.05;0.0;0.00;30.00;81.83;13.15;0.00;
C64;C08;X24;;1;20.25181;9.73;0.0;0.00;30.00;81.83;13.22;0.00;
C64;D08;X32;;1;20.25392;9.98;0.0;0.00;30.00;81.91;13.22;0.00;
C64;D07;X31;;1;20.25596;9.83;0.0;0.00;30.00;81.97;13.23;0.00;
C64;D06;X30;;1;20.25793;10.48;0.0;0.00;29.90;81.99;13.22;0.00;
C64;D05;X29;;1;20.25990;10.40;0.0;0.00;29.90;82.10;13.23;0.00;
C64;D04;X28;;1;20.26191;13.11;0.0;0.00;29.90;82.21;13.24;0.00;
C64;D03;X27;;1;20.26402;11.13;0.0;0.00;29.90;82.29;13.24;0.00;
C64;D02;X26;;1;20.26600;13.28;0.0;0.00;29.90;82.50;13.24;0.00;
C64;D01;X25;;1;20.26799;10.62;0.0;0.00;29.90;82.75;13.22;0.00;
C64;E01;X33;;1;20.27000;10.11;0.0;0.00;29.90;82.97;13.22;0.00;
C64;E02;X34;;1;20.27198;12.56;0.0;0.00;29.90;83.03;13.22;0.00;
C64;E03;X35;;1;20.27397;10.93;0.0;0.00;30.00;83.22;13.22;0.00;
C64;E04;X36;;1;20.27593;13.01;0.0;0.00;29.90;83.28;13.22;0.00;
C64;E05;X37;;1;20.27791;10.42;0.0;0.00;29.90;83.35;13.22;0.00;
C64;E06;X38;;1;20.27992;10.30;0.0;0.00;30.00;83.34;13.22;0.00;
C64;E07;X39;;1;20.28202;10.13;0.0;0.00;30.00;83.41;13.22;0.00;
C64;E08;X40;;1;20.28402;9.87;0.0;0.00;30.00;83.29;13.22;0.00;
C64;F08;X48;;1;20.28614;16.86;0.0;0.00;29.90;83.08;13.17;0.00;
C64;F07;X47;;1;20.28814;9.82;0.0;0.00;30.00;82.95;13.24;0.00;
C64;F06;X46;;1;20.29012;9.87;0.0;0.00;30.00;83.09;13.22;0.00;
C64;F05;X45;;1;20.29210;9.77;0.0;0.00;30.00;83.08;13.22;0.00;
C64;F04;X44;;1;20.29406;14.26;0.0;0.00;30.00;83.00;13.22;0.00;
C64;F03;X43;;1;20.29605;10.85;0.0;0.00;30.00;83.14;13.23;0.00;
C64;F02;X42;;1;20.29803;12.09;0.0;0.00;30.00;83.20;13.23;0.00;
C64;F01;X41;;1;20.30006;10.44;0.0;0.00;30.00;83.20;13.23;0.00;
R;;;;2;20.30559;96.10;0.0;31.33;30.00;82.94;13.23;0.00;test measure for referencing with gain 22 and 9
C64;A01;X1;;2;20.31091;47.50;0.0;0.00;30.00;82.89;13.24;0.00;
C64;A02;X2;;2;20.31289;48.17;0.0;0.00;30.00;83.01;13.25;0.00;
C64;A03;X3;;2;20.31488;49.10;0.0;0.00;30.00;83.12;13.23;0.00;
C64;A04;X4;;2;20.31689;49.09;0.0;0.00;30.00;83.14;13.25;0.00;
C64;A05;X5;;2;20.31886;39.33;0.0;0.00;30.00;83.16;13.24;0.00;
C64;A06;X6;;2;20.32087;40.00;0.0;0.00;30.00;83.27;13.24;0.00;
C64;A07;X7;;2;20.32288;37.63;0.0;0.00;30.00;83.27;13.25;0.00;
C64;A08;X8;;2;20.32488;41.43;0.0;0.00;30.00;83.27;13.25;0.00;
C64;B08;X16;;2;20.32702;43.00;0.0;0.00;30.00;83.21;13.23;0.00;
C64;B07;X15;;2;20.32902;40.55;0.0;0.00;30.00;83.20;13.24;0.00;
C64;B06;X14;;2;20.33106;41.28;0.0;0.00;30.00;83.14;13.25;0.00;
C64;B05;X13;;2;20.33303;41.03;0.0;0.00;30.00;82.94;13.25;0.00;
C64;B04;X12;;2;20.33502;50.57;0.0;0.00;30.00;83.01;13.24;0.00;
C64;B03;X11;;2;20.33699;47.68;0.0;0.00;30.00;83.07;13.23;0.00;
C64;B02;X10;;2;20.33897;50.10;0.0;0.00;30.00;82.95;13.24;0.00;
C64;B01;X9;;2;20.34096;48.59;0.0;0.00;30.10;82.82;13.25;0.00;
C64;C01;X17;;2;20.34297;47.48;0.0;0.00;30.10;82.88;13.25;0.00;
C64;C02;X18;;2;20.34500;49.82;0.0;0.00;30.10;82.82;13.24;0.00;
C64;C03;X19;;2;20.34705;47.68;0.0;0.00;30.00;82.76;13.25;0.00;
C64;C04;X20;;2;20.34903;51.01;0.0;0.00;30.10;82.69;13.25;0.00;
C64;C05;X21;;2;20.35108;40.74;0.0;0.00;30.10;82.76;13.24;0.00;
C64;C06;X22;;2;20.35309;41.75;0.0;0.00;30.10;82.75;13.24;0.00;
C64;C07;X23;;2;20.35506;43.78;0.0;0.00;30.10;82.69;13.24;0.00;
C64;C08;X24;;2;20.35703;42.40;0.0;0.00;30.10;82.69;13.25;0.00;
C64;D08;X32;;2;20.35914;43.29;0.0;0.00;30.10;82.75;13.31;0.00;
C64;D07;X31;;2;20.36113;42.73;0.0;0.00;30.10;82.70;13.25;0.00;
C64;D06;X30;;2;20.36313;45.66;0.0;0.00;30.00;82.63;13.26;0.00;
C64;D05;X29;;2;20.36514;45.26;0.0;0.00;30.10;82.51;13.25;0.00;
C64;D04;X28;;2;20.36715;57.09;0.0;0.00;30.00;82.44;13.31;0.00;
C64;D03;X27;;2;20.36911;48.49;0.0;0.00;30.10;82.24;13.26;0.00;
C64;D02;X26;;2;20.37113;57.71;0.0;0.00;30.00;82.11;13.31;0.00;
C64;D01;X25;;2;20.37316;46.08;0.0;0.00;30.00;82.19;13.31;0.00;
C64;E01;X33;;2;20.37534;44.27;0.0;0.00;30.00;82.10;13.32;0.00;
C64;E02;X34;;2;20.37733;54.55;0.0;0.00;30.00;82.04;13.26;0.00;
C64;E03;X35;;2;20.37932;47.62;0.0;0.00;30.00;82.17;13.31;0.00;
C64;E04;X36;;2;20.38128;56.40;0.0;0.00;30.00;82.11;13.25;0.00;
C64;E05;X37;;2;20.38330;45.40;0.0;0.00;30.00;82.05;13.31;0.00;
C64;E06;X38;;2;20.38528;44.77;0.0;0.00;30.00;82.05;13.26;0.00;
C64;E07;X39;;2;20.38729;44.10;0.0;0.00;30.00;82.05;13.33;0.00;
C64;E08;X40;;2;20.38926;42.83;0.0;0.00;30.00;81.98;13.32;0.00;
C64;F08;X48;;2;20.39125;71.23;0.0;0.00;29.90;81.84;13.32;0.00;
C64;F07;X47;;2;20.39322;42.98;0.0;0.00;30.00;81.78;13.31;0.00;
C64;F06;X46;;2;20.39524;42.80;0.0;0.00;29.90;81.79;13.33;0.00;
C64;F05;X45;;2;20.39722;42.57;0.0;0.00;29.90;81.72;13.32;0.00;
C64;F04;X44;;2;20.39920;61.82;0.0;0.00;29.90;81.66;13.34;0.00;
C64;F03;X43;;2;20.40119;47.17;0.0;0.00;29.90;81.78;13.33;0.00;
C64;F02;X42;;2;20.40317;52.26;0.0;0.00;29.90;81.66;13.33;0.00;
C64;F01;X41;;2;20.40516;45.31;0.0;0.00;29.90;81.66;13.33;0.00;
R;;;;3;20.41250;95.95;0.0;31.34;29.90;81.91;13.33;0.00;test measure for referencing with gain 22 and 9
C64;A01;X1;;3;20.41969;157.28;0.0;0.00;29.90;81.85;13.34;0.00;
C64;A02;X2;;3;20.42174;159.46;0.0;0.00;29.90;81.84;13.34;0.00;
C64;A03;X3;;3;20.42389;162.76;0.0;0.00;29.90;81.84;13.35;0.00;
C64;A04;X4;;3;20.42585;162.62;0.0;0.00;29.90;81.85;13.34;0.00;
C64;A05;X5;;3;20.42788;130.29;0.0;0.00;29.90;81.79;13.34;0.00;
C64;A06;X6;;3;20.42995;132.57;0.0;0.00;29.90;81.71;13.34;0.00;
C64;A07;X7;;3;20.43195;124.58;0.0;0.00;29.90;81.77;13.34;0.00;
C64;A08;X8;;3;20.43398;137.34;0.0;0.00;29.90;81.80;13.34;0.00;
C64;B08;X16;;3;20.43599;142.07;0.0;0.00;29.90;81.64;13.35;0.00;
C64;B07;X15;;3;20.43794;134.50;0.0;0.00;29.90;81.59;13.41;0.00;
C64;B06;X14;;3;20.43995;136.47;0.0;0.00;29.90;81.66;13.34;0.00;
C64;B05;X13;;3;20.44195;135.62;0.0;0.00;29.90;81.52;13.35;0.00;
C64;B04;X12;;3;20.44396;167.49;0.0;0.00;29.90;81.46;13.35;0.00;
C64;B03;X11;;3;20.44599;157.90;0.0;0.00;29.90;81.53;13.35;0.00;
C64;B02;X10;;3;20.44794;166.28;0.0;0.00;29.90;81.53;13.34;0.00;
C64;B01;X9;;3;20.44996;160.86;0.0;0.00;29.90;81.46;13.35;0.00;
C64;C01;X17;;3;20.45211;157.34;0.0;0.00;29.90;81.57;13.35;0.00;
C64;C02;X18;;3;20.45410;164.98;0.0;0.00;29.90;81.74;13.34;0.00;
C64;C03;X19;;3;20.45608;157.82;0.0;0.00;29.90;81.78;13.35;0.00;
C64;C04;X20;;3;20.45807;168.63;0.0;0.00;29.90;81.71;13.34;0.00;
C64;C05;X21;;3;20.46009;135.14;0.0;0.00;29.90;81.90;13.34;0.00;
C64;C06;X22;;3;20.46208;137.58;0.0;0.00;29.90;81.91;13.35;0.00;
C64;C07;X23;;3;20.46411;144.84;0.0;0.00;29.90;81.84;13.35;0.00;
C64;C08;X24;;3;20.46613;140.38;0.0;0.00;29.90;81.76;13.35;0.00;
C64;D08;X32;;3;20.46816;143.12;0.0;0.00;29.90;81.83;13.35;0.00;
C64;D07;X31;;3;20.47016;142.20;0.0;0.00;29.90;81.84;13.35;0.00;
C64;D06;X30;;3;20.47212;150.94;0.0;0.00;29.90;81.84;13.34;0.00;
C64;D05;X29;;3;20.47410;149.23;0.0;0.00;29.90;81.77;13.35;0.00;
C64;D04;X28;;3;20.47611;188.92;0.0;0.00;29.90;81.90;13.41;0.00;
C64;D03;X27;;3;20.47812;160.44;0.0;0.00;29.90;81.90;13.33;0.00;
C64;D02;X26;;3;20.48010;191.31;0.0;0.00;29.90;81.86;13.35;0.00;
C64;D01;X25;;3;20.48209;153.05;0.0;0.00;29.90;81.90;13.34;0.00;
C64;E01;X33;;3;20.48424;146.43;0.0;0.00;29.90;81.97;13.41;0.00;
C64;E02;X34;;3;20.48620;180.92;0.0;0.00;29.90;81.98;13.41;0.00;
C64;E03;X35;;3;20.48818;157.59;0.0;0.00;29.90;81.93;13.41;0.00;
C64;E04;X36;;3;20.49020;186.99;0.0;0.00;29.90;82.03;13.35;0.00;
C64;E05;X37;;3;20.49221;149.56;0.0;0.00;29.90;82.18;13.41;0.00;
C64;E06;X38;;3;20.49421;148.06;0.0;0.00;29.90;82.11;13.35;0.00;
C64;E07;X39;;3;20.49621;144.72;0.0;0.00;29.90;82.25;13.35;0.00;
C64;E08;X40;;3;20.49824;141.94;0.0;0.00;29.90;82.31;13.35;0.00;
C64;F08;X48;;3;20.50025;237.06;0.0;0.00;29.90;82.36;13.35;0.00;
C64;F07;X47;;3;20.50222;141.11;0.0;0.00;29.90;82.29;13.35;0.00;
C64;F06;X46;;3;20.50425;142.04;0.0;0.00;29.90;82.38;13.35;0.00;
C64;F05;X45;;3;20.50623;140.51;0.0;0.00;29.90;82.49;13.41;0.00;
C64;F04;X44;;3;20.50822;204.09;0.0;0.00;29.90;82.40;13.35;0.00;
C64;F03;X43;;3;20.51022;155.96;0.0;0.00;29.90;82.29;13.34;0.00;
C64;F02;X42;;3;20.51218;173.06;0.0;0.00;29.90;82.37;13.35;0.00;
C64;F01;X41;;3;20.51415;150.33;0.0;0.00;29.90;82.29;13.35;0.00;
R;;;;1;20.52329;96.59;0.0;31.46;29.90;82.23;13.41;0.00;test measure for referencing with gain 22 and 9
C65;A01;X1;;1;20.52642;11.00;0.0;0.00;29.90;82.10;13.35;0.00;
C65;A02;X2;;1;20.52839;11.14;0.0;0.00;29.90;82.15;13.42;0.00;
C65;A03;X3;;1;20.53035;11.35;0.0;0.00;29.90;82.03;13.41;0.00;
C65;A04;X4;;1;20.53244;11.36;0.0;0.00;29.90;82.13;13.42;0.00;
C65;A05;X5;;1;20.53444;9.04;0.0;0.00;29.90;82.23;13.41;0.00;
C65;A06;X6;;1;20.53641;9.23;0.0;0.00;29.90;82.28;13.35;0.00;
C65;A07;X7;;1;20.53841;8.70;0.0;0.00;29.90;82.24;13.42;0.00;
C65;A08;X8;;1;20.54049;9.56;0.0;0.00;29.90;82.42;13.42;0.00;
C65;B08;X16;;1;20.54253;9.94;0.0;0.00;29.90;82.48;13.41;0.00;
C65;B07;X15;;1;20.54464;9.39;0.0;0.00;29.90;82.56;13.41;0.00;
C65;B06;X14;;1;20.54662;9.51;0.0;0.00;29.90;82.57;13.35;0.00;
C65;B05;X13;;1;20.54862;9.44;0.0;0.00;29.90;82.76;13.42;0.00;
C65;B04;X12;;1;20.55062;11.70;0.0;0.00;29.90;82.95;13.41;0.00;
C65;B03;X11;;1;20.55263;11.03;0.0;0.00;29.90;83.02;13.41;0.00;
C65;B02;X10;;1;20.55460;11.62;0.0;0.00;29.90;83.09;13.35;0.00;
C65;B01;X9;;1;20.55659;11.21;0.0;0.00;29.90;83.20;13.35;0.00;
C65;C01;X17;;1;20.55860;10.97;0.0;0.00;29.90;83.13;13.42;0.00;
C65;C02;X18;;1;20.56057;11.53;0.0;0.00;29.90;83.14;13.35;0.00;
C65;C03;X19;;1;20.56256;11.01;0.0;0.00;29.90;83.27;13.42;0.00;
C65;C04;X20;;1;20.56454;11.81;0.0;0.00;29.90;83.33;13.41;0.00;
C65;C05;X21;;1;20.56660;9.39;0.0;0.00;29.90;83.28;13.41;0.00;
C65;C06;X22;;1;20.56863;9.61;0.0;0.00;29.90;83.40;13.35;0.00;
C65;C07;X23;;1;20.57063;10.08;0.0;0.00;29.90;83.40;13.35;0.00;
C65;C08;X24;;1;20.57267;9.76;0.0;0.00;29.90;83.40;13.40;0.00;
C65;D08;X32;;1;20.57482;9.98;0.0;0.00;29.90;83.46;13.35;0.00;
C65;D07;X31;;1;20.57685;9.89;0.0;0.00;29.90;83.49;13.41;0.00;
C65;D06;X30;;1;20.57886;10.53;0.0;0.00;29.90;83.60;13.41;0.00;
C65;D05;X29;;1;20.58086;10.43;0.0;0.00;29.90;83.60;13.37;0.00;
C65;D04;X28;;1;20.58284;13.20;0.0;0.00;29.90;83.53;13.35;0.00;
C65;D03;X27;;1;20.58481;11.20;0.0;0.00;29.90;83.71;13.35;0.00;
C65;D02;X26;;1;20.58690;13.36;0.0;0.00;29.90;83.72;13.35;0.00;
C65;D01;X25;;1;20.58889;10.66;0.0;0.00;29.90;83.73;13.35;0.00;
C65;E01;X33;;1;20.59090;10.22;0.0;0.00;29.90;83.65;13.40;0.00;
C65;E02;X34;;1;20.59292;12.63;0.0;0.00;29.90;83.79;13.35;0.00;
C65;E03;X35;;1;20.59496;11.01;0.0;0.00;29.90;83.73;13.35;0.00;
C65;E04;X36;;1;20.59697;13.07;0.0;0.00;29.90;83.73;13.35;0.00;
C65;E05;X37;;1;20.59896;10.38;0.0;0.00;29.90;83.73;13.42;0.00;
C65;E06;X38;;1;20.60096;10.31;0.0;0.00;29.90;83.75;13.41;0.00;
C65;E07;X39;;1;20.60292;10.08;0.0;0.00;29.90;83.79;13.35;0.00;
C65;E08;X40;;1;20.60490;9.85;0.0;0.00;29.90;83.72;13.35;0.00;
C65;F08;X48;;1;20.60690;16.68;0.0;0.00;29.90;83.79;13.40;0.00;
C65;F07;X47;;1;20.60896;9.84;0.0;0.00;29.90;83.85;13.34;0.00;
C65;F06;X46;;1;20.61099;9.88;0.0;0.00;29.90;83.78;13.35;0.00;
C65;F05;X45;;1;20.61300;9.73;0.0;0.00;29.90;83.90;13.41;0.00;
C65;F04;X44;;1;20.61506;14.33;0.0;0.00;29.90;83.98;13.41;0.00;
C65;F03;X43;;1;20.61721;10.91;0.0;0.00;30.00;83.99;13.41;0.00;
C65;F02;X42;;1;20.61922;12.13;0.0;0.00;30.00;84.05;13.41;0.00;
C65;F01;X41;;1;20.62120;10.51;0.0;0.00;29.90;84.05;13.35;0.00;
R;;;;2;20.62657;95.55;0.0;31.19;30.00;84.31;13.35;0.00;test measure for referencing with gain 22 and 9
C65;A01;X1;;2;20.63198;47.65;0.0;0.00;30.00;84.60;13.41;0.00;
C65;A02;X2;;2;20.63397;48.31;0.0;0.00;30.00;84.78;13.35;0.00;
C65;A03;X3;;2;20.63595;49.35;0.0;0.00;30.00;84.64;13.34;0.00;
C65;A04;X4;;2;20.63801;49.33;0.0;0.00;30.10;84.64;13.35;0.00;
C65;A05;X5;;2;20.64002;39.30;0.0;0.00;30.10;84.72;13.35;0.00;
C65;A06;X6;;2;20.64203;39.97;0.0;0.00;30.10;84.64;13.35;0.00;
C65;A07;X7;;2;20.64401;37.58;0.0;0.00;30.10;84.66;13.36;0.00;
C65;A08;X8;;2;20.64599;41.42;0.0;0.00;30.10;84.64;13.36;0.00;
C65;B08;X16;;2;20.64800;43.32;0.0;0.00;30.10;84.63;13.35;0.00;
C65;B07;X15;;2;20.65006;40.55;0.0;0.00;30.10;84.51;13.35;0.00;
C65;B06;X14;;2;20.65211;41.27;0.0;0.00;30.10;84.40;13.35;0.00;
C65;B05;X13;;2;20.65413;40.93;0.0;0.00;30.10;84.26;13.34;0.00;
C65;B04;X12;;2;20.65618;50.70;0.0;0.00;30.10;84.11;13.35;0.00;
C65;B03;X11;;2;20.65815;47.78;0.0;0.00;30.10;83.93;13.35;0.00;
C65;B02;X10;;2;20.66016;50.41;0.0;0.00;30.00;83.85;13.35;0.00;
C65;B01;X9;;2;20.66213;48.60;0.0;0.00;30.00;83.88;13.41;0.00;
C65;C01;X17;;2;20.66425;47.42;0.0;0.00;30.00;83.85;13.35;0.00;
C65;C02;X18;;2;20.66624;49.98;0.0;0.00;30.00;83.67;13.36;0.00;
C65;C03;X19;;2;20.66828;47.69;0.0;0.00;30.00;83.66;13.41;0.00;
C65;C04;X20;;2;20.67028;51.04;0.0;0.00;30.00;83.67;13.41;0.00;
C65;C05;X21;;2;20.67231;40.61;0.0;0.00;30.00;83.66;13.41;0.00;
C65;C06;X22;;2;20.67429;41.70;0.0;0.00;30.00;83.47;13.35;0.00;
C65;C07;X23;;2;20.67631;43.69;0.0;0.00;30.00;83.65;13.35;0.00;
C65;C08;X24;;2;20.67840;42.37;0.0;0.00;30.00;83.67;13.35;0.00;
C65;D08;X32;;2;20.68050;43.11;0.0;0.00;30.00;83.60;13.41;0.00;
C65;D07;X31;;2;20.68250;42.82;0.0;0.00;30.00;83.61;13.35;0.00;
C65;D06;X30;;2;20.68449;45.66;0.0;0.00;29.90;83.61;13.41;0.00;
C65;D05;X29;;2;20.68658;44.97;0.0;0.00;30.00;83.61;13.41;0.00;
C65;D04;X28;;2;20.68856;57.05;0.0;0.00;29.90;83.60;13.41;0.00;
C65;D03;X27;;2;20.69060;48.45;0.0;0.00;30.00;83.67;13.35;0.00;
C65;D02;X26;;2;20.69263;57.68;0.0;0.00;30.00;83.86;13.42;0.00;
C65;D01;X25;;2;20.69463;46.20;0.0;0.00;29.90;83.93;13.41;0.00;
C65;E01;X33;;2;20.69676;44.21;0.0;0.00;29.90;84.11;13.41;0.00;
C65;E02;X34;;2;20.69879;54.67;0.0;0.00;30.00;84.23;13.35;0.00;
C65;E03;X35;;2;20.70079;47.62;0.0;0.00;30.00;84.31;13.35;0.00;
C65;E04;X36;;2;20.70283;56.50;0.0;0.00;30.00;84.37;13.41;0.00;
C65;E05;X37;;2;20.70484;44.99;0.0;0.00;30.00;84.24;13.41;0.00;
C65;E06;X38;;2;20.70683;44.70;0.0;0.00;30.00;84.30;13.41;0.00;
C65;E07;X39;;2;20.70895;43.81;0.0;0.00;30.00;84.25;13.35;0.00;
C65;E08;X40;;2;20.71096;42.86;0.0;0.00;30.00;84.17;13.40;0.00;
C65;F08;X48;;2;20.71297;72.31;0.0;0.00;30.00;84.18;13.40;0.00;
C65;F07;X47;;2;20.71494;42.69;0.0;0.00;30.00;84.33;13.41;0.00;
C65;F06;X46;;2;20.71691;42.88;0.0;0.00;30.00;84.31;13.42;0.00;
C65;F05;X45;;2;20.71890;42.43;0.0;0.00;30.00;84.33;13.41;0.00;
C65;F04;X44;;2;20.72087;61.89;0.0;0.00;30.10;84.37;13.42;0.00;
C65;F03;X43;;2;20.72286;47.15;0.0;0.00;30.00;84.31;13.35;0.00;
C65;F02;X42;;2;20.72490;52.60;0.0;0.00;30.00;84.11;13.41;0.00;
C65;F01;X41;;2;20.72689;45.52;0.0;0.00;30.00;84.11;13.42;0.00;
R;;;;3;20.73407;95.86;0.0;31.22;30.10;84.11;13.42;0.00;test measure for referencing with gain 22 and 9
C65;A01;X1;;3;20.74124;157.92;0.0;0.00;30.10;83.92;13.42;0.00;
C65;A02;X2;;3;20.74328;160.18;0.0;0.00;30.10;83.87;13.43;0.00;
C65;A03;X3;;3;20.74526;163.45;0.0;0.00;30.10;83.80;13.41;0.00;
C65;A04;X4;;3;20.74726;163.16;0.0;0.00;30.00;83.60;13.41;0.00;
C65;A05;X5;;3;20.74924;129.81;0.0;0.00;30.10;83.60;13.44;0.00;
C65;A06;X6;;3;20.75121;132.57;0.0;0.00;30.10;83.61;13.42;0.00;
C65;A07;X7;;3;20.75320;124.36;0.0;0.00;30.00;83.54;13.41;0.00;
